Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2015-07-13,219.07217407226562,220.2687048408711,216.49421539881882,217.9409207641833,9860248
2015-07-14,217.0707244873047,220.05115254154921,216.50509781951033,219.48552587375485,9942927
2015-07-15,219.9750213623047,220.68205109514932,217.4514483071017,217.49495693544668,13532911
2015-07-16,222.7052459716797,223.5972018394341,219.97500710874743,220.15991876723191,14854295
2015-07-17,222.27015686035156,224.32599761330013,221.46523272363925,223.0424640484458,10195142
2015-07-20,222.93368530273438,224.0649386338411,221.44347128151625,223.59720637770764,6348354
2015-07-21,219.24623107910156,223.738627825653,218.1476091273926,223.64073340817708,7923338
2015-07-22,228.5138397216797,229.28613240775053,218.55007324774337,218.63709050563986,17309440
2015-07-23,227.4043426513672,232.3100713088484,226.51238670555625,229.1882400207496,18642915
2015-07-24,222.99893188476562,228.35063776287515,222.13960753174794,227.9916916213319,13099664
2015-07-27,218.71319580078125,224.05403889888225,217.9300260821052,222.96629430379846,20118553
2015-07-28,219.7792205810547,221.18240281333925,217.57108520145218,219.3549969555256,13382878
2015-07-29,216.67913818359375,220.31222477925135,215.8307054200847,219.6160576906545,14790821
2015-07-30,217.5819549560547,219.2897265565692,215.874197877778,217.5710777999301,11701228
2015-07-31,217.9518280029297,219.2680076733873,215.37386897366522,217.5493586390509,16634259
2015-08-03,218.08233642578125,220.56240083541547,217.41881532588965,217.76689887247102,9887787
2015-08-04,214.93873596191406,218.77848829745216,213.19834739457272,218.28900174378774,12006872
2015-08-05,214.88433837890625,217.72336313868453,214.09027697150495,214.99310993547158,14345010
2015-08-06,212.96990966796875,215.8089345447042,212.65447214093444,215.59137690037377,8708037
2015-08-07,214.14468383789062,216.2440330329182,212.57831528637485,212.98078458024384,8608888
2015-08-10,210.78353881835938,215.11276303587078,209.82632005658337,214.1773131080891,9288894
2015-08-11,210.15267944335938,211.81692809853757,208.41227616385518,211.2404242319297,8762464
2015-08-12,205.1272735595703,210.1526651785522,204.61603267231004,209.63054713458936,9650325
2015-08-13,203.0496826171875,207.53120196877987,202.19035817595258,206.01923359004746,9340350
2015-08-14,210.3593292236328,211.45795108497998,203.25634265074703,204.55076785318082,12739366
2015-08-17,206.8241424560547,210.15265388382497,205.81253789260577,210.15265388382497,10857430
2015-08-18,205.38833618164062,207.97717222495078,204.9750042050847,207.97717222495078,6630334
2015-08-19,207.67259216308594,209.06489720732716,204.3767121642257,205.36656242728478,8877298
2015-08-20,199.34043884277344,208.83647194337323,198.78568936511505,208.83647194337323,19008087
2015-08-21,197.52391052246094,198.3832348913289,195.14174074618424,197.96988844090237,20050521
2015-08-24,180.46804809570312,191.44341872040215,177.95535228105234,191.44341872040215,35635706
2015-08-25,184.51446533203125,187.23384162837115,179.0866189404801,182.92635689417696,49504268
2015-08-26,185.65660095214844,190.312154463604,182.74143598359893,184.4383159021002,18955515
2015-08-27,189.08302307128906,191.71536788794842,186.4506782546297,188.57178212898052,26997546
2015-08-28,189.7900390625,192.0960542766674,188.419473808158,190.35566570979083,10770215
2015-08-31,186.20046997070312,189.88792747915056,185.74361490033297,189.88792747915056,20708942
2015-09-01,182.70880126953125,185.76536921309744,181.67544241379855,185.76536921309744,21645696
2015-09-02,184.8190460205078,186.46154029298728,183.30707763192999,184.91694043343404,19652369
2015-09-03,185.75450134277344,187.25559249982385,183.69866068444767,185.79800996858026,11659978
2015-09-04,181.8494873046875,184.851669640349,179.49994888305378,184.851669640349,16199949
2015-09-07,181.26210021972656,183.61163856216035,180.06558399730224,182.36072203668235,10234633
2015-09-08,184.61236572265625,185.55870742648352,179.4999567083793,181.87124954644952,12900468
2015-09-09,190.1490020751953,191.16060674069297,185.02571580441548,187.3099914308163,17340694
2015-09-10,188.61524963378906,189.3766795634088,186.11343125712526,187.30996192906522,11074406
2015-09-11,187.29910278320312,190.59496835066804,186.2657438666693,189.70301246925783,10634833
2015-09-14,187.9299774169922,188.33244669944958,185.33026459789738,187.47312235612665,7964072
2015-09-15,188.61524963378906,189.26790800838796,186.1351855681294,187.52750503910687,11509788
2015-09-16,189.82266235351562,190.8668983531025,188.22367688678807,189.72476795147386,13424811
2015-09-18,194.79368591308594,195.6856272925641,190.82340750478113,191.10621358146682,34261453
2015-09-21,191.0300750732422,193.22731885318962,190.58409711867327,191.44342155715282,12732187
2015-09-22,184.46006774902344,192.50939551214128,183.7204066217892,191.44340518399449,15745524
2015-09-23,184.99307250976562,186.39626926757285,182.7414430211527,183.39408693459671,15221260
2015-09-24,182.16494750976562,184.48184004314555,181.59932082269074,184.48184004314555,29076982
2015-09-28,181.49053955078125,182.9372450390615,180.2831460454499,182.69794757835197,11624639
2015-09-29,182.9045867919922,184.97130446635157,179.7174930347516,180.56594022481565,15853471
2015-09-30,187.59278869628906,188.13666105371405,182.4151168829288,185.13449319229224,17292020
2015-10-01,188.11492919921875,190.1272615186137,186.78788687845213,190.1272615186137,8663393
2015-10-05,193.18382263183594,193.61892345746077,187.49490947043893,187.7015899867866,16015412
2015-10-06,195.3701934814453,195.90318869686075,192.6943257251256,194.8480754230335,12330294
2015-10-07,198.79660034179688,199.72118780260413,193.83648566698724,194.64140986932387,11515191
2015-10-08,193.42311096191406,199.03588333367867,192.80309853318894,199.03588333367867,10753149
2015-10-09,193.0424346923828,196.98008222412957,191.76977811089304,194.5000174895249,9327873
2015-10-12,193.99961853027344,196.14247644287812,193.18380275090416,193.18380275090416,6212395
2015-10-13,194.40208435058594,194.9894653113986,192.07430029763714,192.54203253948089,6162561
2015-10-14,196.43617248535156,196.88215041879513,194.4782262496435,194.88069555760362,8002587
2015-10-15,196.5993194580078,198.1874277710771,195.8161497183888,197.4695209662399,9048478
2015-10-16,199.01416015625,199.01416015625,196.59935847884907,196.77339300614273,15246935
2015-10-19,209.60877990722656,210.04386614852453,204.71391447024746,204.71391447024746,33505855
2015-10-20,208.1294403076172,210.3049295736601,207.32450172761781,209.93509175131683,18091895
2015-10-21,207.7595977783203,212.06706758927524,207.32449703052177,207.86836933471065,14404450
2015-10-23,207.9010009765625,211.68636732002892,204.74653870516528,209.7066669031102,12153422
2015-10-26,205.11639404296875,209.50000432158657,204.77918766682953,209.26070687688278,10938775
2015-10-27,204.39846801757812,206.29115130797896,203.930735773143,204.23531067262567,11601798
2015-10-28,203.83285522460938,205.5623812876469,202.29913251106544,203.82197806753967,11958727
2015-10-29,204.71389770507812,205.58409916088377,203.397718366228,203.62615314643932,13280382
2015-10-30,206.1715087890625,207.95540604757522,204.51813741043736,204.95322367672935,13366359
2015-11-02,208.80386352539062,209.17370139206872,205.6276464926568,206.45432496128876,7222044
2015-11-03,210.41372680664062,211.1207710699425,209.11931605385476,209.55441686460068,11373522
2015-11-04,206.95468139648438,212.11061346657152,205.84518235792035,210.5877679471875,10033187
2015-11-05,203.75669860839844,206.88940672396404,202.973528840626,206.45430595420694,10767454
2015-11-06,207.19400024414062,207.70524115316903,204.03953753264432,204.37672940478188,8367190
2015-11-09,209.1193084716797,209.93510975528991,200.89593103899654,203.08231217066583,17031699
2015-11-10,200.74363708496094,208.7385791542635,199.34044038485814,208.19470682838642,11486238
2015-11-13,202.9844207763672,204.18093708864063,198.94887935889057,199.06852808567012,13682323
2015-11-16,203.25634765625,204.93147338103003,201.17875260502106,201.45069604902346,15346549
2015-11-17,201.83140563964844,204.25708434234235,201.49421376145833,204.07217266720582,8588142
2015-11-18,198.405029296875,202.6037285411646,197.9590512883107,201.7987897896601,11249222
2015-11-19,203.354248046875,204.2135725093904,199.5471413745811,199.90610208410158,12183206
2015-11-20,205.98658752441406,207.2810127642705,201.35278797756192,203.19108558551432,11304265
2015-11-23,207.48765563964844,208.39048860770848,205.84516156135334,206.67185443947244,10499517
2015-11-24,210.52247619628906,211.37092341395584,206.9002815704621,207.3245051792955,14806176
2015-11-26,215.0801544189453,215.79807582767003,210.64215817114473,211.24041633025595,23805828
2015-11-27,212.99166870117188,215.91771089160056,211.91480117846888,215.15628090292358,10891864
2015-11-30,210.3919677734375,214.15558026252208,209.3477316599636,212.87203217349767,29919205
2015-12-01,210.13092041015625,212.93729957809435,209.1193157463871,209.7175739144434,12981379
2015-12-02,212.7523651123047,213.13308009563923,209.82632300644846,210.207037989783,7573628
2015-12-03,212.58921813964844,215.14542271748317,211.91481986450887,212.08885438138634,11361395
2015-12-04,210.0330047607422,212.3716660944825,209.1519405337301,211.5232188157788,13443688
2015-12-07,207.1178436279297,211.67550281708432,206.61747991596715,210.03299412708,14483909
2015-12-08,204.69215393066406,207.45502409003757,203.64791793884322,206.43254240961974,7532164
2015-12-09,199.25341796875,205.246905076271,198.58989694328028,203.6696739199082,9174419
2015-12-10,206.748046875,207.49858533096625,200.14542290077685,200.68929534600716,18592203
2015-12-11,207.3136444091797,208.6298239639761,205.12727777804204,207.05259264294898,18155513
2015-12-14,207.78134155273438,209.60876169636992,205.80164123787463,206.14972472290913,10563900
2015-12-15,212.306396484375,212.7523744234158,207.46591661620877,208.19471514667973,15718833
2015-12-16,212.90464782714844,214.8408397126894,211.78427169812934,212.30638971607672,12097338
2015-12-17,219.65956115722656,220.8125833324237,212.76325503060391,213.2092329768778,19369032
2015-12-18,215.7871856689453,219.50727480611602,215.37383920431785,218.3760214982585,16016139
2015-12-21,215.83067321777344,217.3317642181565,214.14467057701037,214.9169631267165,12331769
2015-12-22,214.78646850585938,218.11496565028435,214.0685471060697,215.98298480919036,11579277
2015-12-23,218.37600708007812,219.05040525326672,215.37382498435528,215.7654171103707,12919467
2015-12-24,217.66897583007812,219.11568118545748,216.74440302185104,218.3977743470397,11901877
2015-12-28,219.81185913085938,220.54064316171298,217.54933789590604,217.67986377804598,12885935
2015-12-29,220.8995819091797,221.61748871185034,219.10479311914708,219.81183728829092,14913870
2015-12-30,218.52830505371094,221.03012367053213,217.98443270416186,220.81258053960786,8151610
